areaType,areaName,areaCode,date,newVaccinesGivenByPublishDate,cumVaccinesGivenByPublishDate,newPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate
overview,United Kingdom,K02000001,2021-01-27,314707,7953250,312378,7476765,2329,476485
overview,United Kingdom,K02000001,2021-01-26,312770,7638543,311060,7164387,1710,474156
overview,United Kingdom,K02000001,2021-01-25,281725,7325773,279757,6853327,1968,472446
overview,United Kingdom,K02000001,2021-01-24,221067,7044048,220249,6573570,818,470478
overview,United Kingdom,K02000001,2021-01-23,493013,6822981,491970,6353321,1043,469660
overview,United Kingdom,K02000001,2021-01-22,480069,6329968,478248,5861351,1821,468617
overview,United Kingdom,K02000001,2021-01-21,412615,5849899,409855,5383103,2760,466796
overview,United Kingdom,K02000001,2021-01-20,366919,5437284,363508,4973248,3411,464036
overview,United Kingdom,K02000001,2021-01-19,346922,5070365,343163,4609740,3759,460625
overview,United Kingdom,K02000001,2021-01-18,208641,4723443,204076,4266577,4565,456866
overview,United Kingdom,K02000001,2021-01-17,192346,4514802,190107,4062501,2239,452301
overview,United Kingdom,K02000001,2021-01-16,298751,4322456,296131,3872394,2620,450062
overview,United Kingdom,K02000001,2021-01-15,345525,4023705,341317,3576263,4208,447442
overview,United Kingdom,K02000001,2021-01-14,321951,3678180,316694,3234946,5257,443234
overview,United Kingdom,K02000001,2021-01-13,288688,3356229,278943,2918252,9745,437977
overview,United Kingdom,K02000001,2021-01-12,223726,3067541,207661,2639309,16065,428232
overview,United Kingdom,K02000001,2021-01-11,165844,2843815,145076,2431648,20768,412167
overview,United Kingdom,K02000001,2021-01-10,,2677971,,2286572,,391399
